class,variable,value,period,deal,link,pub_date
B,PrincipalDistribution,0,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
C,PrincipalDistribution,0,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
D,PrincipalDistribution,0,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
Certificates,PrincipalDistribution,,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-1,InterestDistribution,0,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-2,InterestDistribution,0,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-3,InterestDistribution,101637.28,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-4,InterestDistribution,122832.75,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
B,InterestDistribution,45922.92,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
C,InterestDistribution,40382.67,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
D,InterestDistribution,36542,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
Certificates,InterestDistribution,,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-1,PassThroughDistribution,,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-2,PassThroughDistribution,,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-3,PassThroughDistribution,,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-4,PassThroughDistribution,,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
B,PassThroughDistribution,,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
C,PassThroughDistribution,,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
D,PassThroughDistribution,,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
Certificates,PassThroughDistribution,290526.34,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-1,TotalDistribution,0,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-2,TotalDistribution,0,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-3,TotalDistribution,13280295.35,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-4,TotalDistribution,122832.75,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
B,TotalDistribution,45922.92,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
C,TotalDistribution,40382.67,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
