class,variable,value,period,deal,link,pub_date
Certificates,BeginningNotePrincipalBalance,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-1,NoteRate,0.83,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-2,NoteRate,1.38,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-3,NoteRate,1.7,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-4,NoteRate,1.99,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
B,NoteRate,2.35,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
C,NoteRate,2.48,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
D,NoteRate,3.02,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
Certificates,NoteRate,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-1,PrincipalDistribution,6088788.81,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-2,PrincipalDistribution,29162584.57,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-3,PrincipalDistribution,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-4,PrincipalDistribution,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
B,PrincipalDistribution,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
C,PrincipalDistribution,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
D,PrincipalDistribution,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
Certificates,PrincipalDistribution,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-1,InterestDistribution,4351.79,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-2,InterestDistribution,405950,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-3,InterestDistribution,500083.33,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-4,InterestDistribution,122832.75,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
B,InterestDistribution,45922.92,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
C,InterestDistribution,40382.67,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
D,InterestDistribution,36542,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
Certificates,InterestDistribution,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-1,PassThroughDistribution,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-2,PassThroughDistribution,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-3,PassThroughDistribution,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-4,PassThroughDistribution,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
B,PassThroughDistribution,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
C,PassThroughDistribution,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
D,PassThroughDistribution,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
Certificates,PassThroughDistribution,1341989.88,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-1,TotalDistribution,6093140.6,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-2,TotalDistribution,29568534.57,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-3,TotalDistribution,500083.33,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-4,TotalDistribution,122832.75,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
B,TotalDistribution,45922.92,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
C,TotalDistribution,40382.67,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
D,TotalDistribution,36542,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
Certificates,TotalDistribution,1341989.88,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-1,PrincipalCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-2,PrincipalCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-3,PrincipalCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-4,PrincipalCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
B,PrincipalCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
C,PrincipalCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
D,PrincipalCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
Certificates,PrincipalCarryoverShortfall,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-1,InterestCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-2,InterestCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-3,InterestCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-4,InterestCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
B,InterestCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
C,InterestCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
D,InterestCarryoverShortfall,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
Certificates,InterestCarryoverShortfall,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-1,EndingNotePrincipalBalance,0,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-2,EndingNotePrincipalBalance,323837415.43,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-3,EndingNotePrincipalBalance,353000000,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-4,EndingNotePrincipalBalance,74070000,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
B,EndingNotePrincipalBalance,23450000,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
C,EndingNotePrincipalBalance,19540000,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
D,EndingNotePrincipalBalance,14520000,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
Certificates,EndingNotePrincipalBalance,,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
all,EndingNumberofReceivables,59253,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
all,EndingAggregateReceivablesPrincipalBalance,822933263.69,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
all,EndingAggregateAmountFinanced,822933263.69,2017-08-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000041/aart2017-1_exx99xaugustx20.htm,2017-09-28T20:44:54Z
A-1,InitialNotePrincipalBalance,274000000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-2,InitialNotePrincipalBalance,353000000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-3,InitialNotePrincipalBalance,353000000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-4,InitialNotePrincipalBalance,74070000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
B,InitialNotePrincipalBalance,23450000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
C,InitialNotePrincipalBalance,19540000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
D,InitialNotePrincipalBalance,14520000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
Certificates,InitialNotePrincipalBalance,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-1,BeginningNotePrincipalBalance,41701507.05,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-2,BeginningNotePrincipalBalance,353000000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-3,BeginningNotePrincipalBalance,353000000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-4,BeginningNotePrincipalBalance,74070000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
B,BeginningNotePrincipalBalance,23450000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
C,BeginningNotePrincipalBalance,19540000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
D,BeginningNotePrincipalBalance,14520000,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
Certificates,BeginningNotePrincipalBalance,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-1,NoteRate,0.83,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-2,NoteRate,1.38,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-3,NoteRate,1.7,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-4,NoteRate,1.99,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
B,NoteRate,2.35,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
C,NoteRate,2.48,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
D,NoteRate,3.02,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
Certificates,NoteRate,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-1,PrincipalDistribution,35612718.24,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-2,PrincipalDistribution,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-3,PrincipalDistribution,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-4,PrincipalDistribution,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
B,PrincipalDistribution,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
C,PrincipalDistribution,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
D,PrincipalDistribution,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
Certificates,PrincipalDistribution,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-1,InterestDistribution,27882.09,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-2,InterestDistribution,405950,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-3,InterestDistribution,500083.33,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-4,InterestDistribution,122832.75,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
B,InterestDistribution,45922.92,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
C,InterestDistribution,40382.67,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
D,InterestDistribution,36542,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
Certificates,InterestDistribution,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-1,PassThroughDistribution,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-2,PassThroughDistribution,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-3,PassThroughDistribution,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-4,PassThroughDistribution,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
B,PassThroughDistribution,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
C,PassThroughDistribution,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
D,PassThroughDistribution,,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
Certificates,PassThroughDistribution,1511831.58,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-1,TotalDistribution,35640600.33,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-2,TotalDistribution,405950,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-3,TotalDistribution,500083.33,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-4,TotalDistribution,122832.75,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
B,TotalDistribution,45922.92,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
C,TotalDistribution,40382.67,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
D,TotalDistribution,36542,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
Certificates,TotalDistribution,1511831.58,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-1,PrincipalCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-2,PrincipalCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
A-3,PrincipalCarryoverShortfall,0,2017-07-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973117000035/aart2017-1_exx99xjulyx2017.htm,2017-08-29T16:42:13Z
