class,value,variable,period,company,link
B,24800000,EndingNotePrincipalBalance,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
C,26200000,EndingNotePrincipalBalance,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
D,30200000,EndingNotePrincipalBalance,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
A-1,0,InterestDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
A-2,184221.15,InterestDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
A-3,709500,InterestDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
A-4,222838.33,InterestDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
B,52493.33,InterestDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
C,62006.67,InterestDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
D,86321.67,InterestDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
A-1,0,PrincipalDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
A-2,27849845.84,PrincipalDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
A-3,0,PrincipalDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
A-4,0,PrincipalDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
B,0,PrincipalDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
C,0,PrincipalDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
D,0,PrincipalDistribution,2018-05-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000028/a2017-1ex991061518.htm
A-1,0,BeginningNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-2,171211587.47,BeginningNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-3,4.3e+08,BeginningNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-4,117800000,BeginningNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
B,24800000,BeginningNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
C,26200000,BeginningNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
D,30200000,BeginningNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-1,0,EndingNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-2,143548944.22,EndingNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-3,4.3e+08,EndingNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-4,117800000,EndingNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
B,24800000,EndingNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
C,26200000,EndingNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
D,30200000,EndingNotePrincipalBalance,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-1,0,InterestDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-2,219721.54,InterestDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-3,709500,InterestDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-4,222838.33,InterestDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
B,52493.33,InterestDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
C,62006.67,InterestDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
D,86321.67,InterestDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-1,0,PrincipalDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-2,27662643.25,PrincipalDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-3,0,PrincipalDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-4,0,PrincipalDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
B,0,PrincipalDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
C,0,PrincipalDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
D,0,PrincipalDistribution,2018-04-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000022/a2017-1ex991051518.htm
A-1,0,BeginningNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-2,202349323.69,BeginningNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-3,4.3e+08,BeginningNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-4,117800000,BeginningNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
B,24800000,BeginningNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
C,26200000,BeginningNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
D,30200000,BeginningNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-1,0,EndingNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-2,171211587.47,EndingNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-3,4.3e+08,EndingNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-4,117800000,EndingNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
B,24800000,EndingNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
C,26200000,EndingNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
D,30200000,EndingNotePrincipalBalance,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-1,0,InterestDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-2,259681.63,InterestDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-3,709500,InterestDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-4,222838.33,InterestDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
B,52493.33,InterestDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
C,62006.67,InterestDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
D,86321.67,InterestDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-1,0,PrincipalDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-2,31137736.22,PrincipalDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-3,0,PrincipalDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-4,0,PrincipalDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
B,0,PrincipalDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
C,0,PrincipalDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
D,0,PrincipalDistribution,2018-03-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000018/a2017-1ex991041618.htm
A-1,0,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-2,260888196.51,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-3,4.3e+08,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-4,117800000,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
B,24800000,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
C,26200000,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
D,30200000,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-1,0,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-2,231305047.92,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-3,4.3e+08,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-4,117800000,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
B,24800000,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
C,26200000,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
D,30200000,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-1,0,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-2,334806.52,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-3,709500,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-4,222838.33,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
B,52493.33,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
C,62006.67,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
D,86321.67,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-1,0,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-2,29583148.59,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-3,0,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-4,0,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
B,0,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
C,0,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
D,0,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000014/a2017-1ex991032318.htm
A-1,0,BeginningNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-2,231305047.92,BeginningNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-3,4.3e+08,BeginningNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-4,117800000,BeginningNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
B,24800000,BeginningNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
C,26200000,BeginningNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
D,30200000,BeginningNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-1,0,EndingNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-2,202349323.69,EndingNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-3,4.3e+08,EndingNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-4,117800000,EndingNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
B,24800000,EndingNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
C,26200000,EndingNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
D,30200000,EndingNotePrincipalBalance,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-1,0,InterestDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-2,296841.48,InterestDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-3,709500,InterestDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-4,222838.33,InterestDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
B,52493.33,InterestDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
C,62006.67,InterestDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
D,86321.67,InterestDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-1,0,PrincipalDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-2,28955724.23,PrincipalDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-3,0,PrincipalDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-4,0,PrincipalDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
B,0,PrincipalDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
C,0,PrincipalDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
D,0,PrincipalDistribution,2018-02-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000012/a2017-1ex991031518.htm
A-1,0,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-2,260888196.51,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-3,4.3e+08,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-4,117800000,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
B,24800000,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
C,26200000,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
D,30200000,BeginningNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-1,0,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-2,231305047.92,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-3,4.3e+08,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-4,117800000,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
B,24800000,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
C,26200000,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
D,30200000,EndingNotePrincipalBalance,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-1,0,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-2,334806.52,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-3,709500,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-4,222838.33,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
B,52493.33,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
C,62006.67,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
D,86321.67,InterestDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-1,0,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-2,29583148.59,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-3,0,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
A-4,0,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
B,0,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
C,0,PrincipalDistribution,2018-01-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381918000008/a2017-1ex991021518.htm
